,contestant,name,hometown,age,outcome,ep_1,ep_2,ep_3,ep_4,ep_5,ep_6,ep_7,ep_8,ep_9,ep_10,ep_11,ep_12,ep_14
0,Jinkx Monsoon,Jerick Hoffer,"Seattle, Washington",24,Winner,SAFE,SAFE,SAFE,SAFE,WIN,SAFE,SAFE,SAFE,WIN,SAFE,BTM2,SAFE,Winner
1,Alaska,Justin Honard,"Pittsburgh, Pennsylvania",27,Runner-up,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,WIN,SAFE,SAFE,WIN,SAFE,Runner-Up
2,Roxxxy Andrews,Michael Feliciano,"Orlando, Florida",28,Runner-up,WIN,SAFE,SAFE,SAFE,SAFE,SAFE,BTM2,SAFE,SAFE,WIN,SAFE,SAFE,Runner-Up
3,Detox,Matthew Sanderson,"Los Angeles, California",27,4th Place,SAFE,SAFE,WIN,SAFE,BTM2,SAFE,SAFE,SAFE,SAFE,BTM2,ELIM,OUT,Guest
4,Coco Montrese,Martin Cooper,"Las Vegas, Nevada",37,5th Place,SAFE,SAFE,BTM2,SAFE,SAFE,BTM2,WIN,SAFE,BTM2,ELIM,OUT,OUT,Guest
5,Alyssa Edwards,Justin Johnson,"Mesquite, Texas",32,6th Place,SAFE,SAFE,SAFE,WIN,SAFE,SAFE,BTM2,BTM2,ELIM,OUT,OUT,OUT,Guest
6,Ivy Winters,Dustin Winters,"New York, New York",26,7th Place,SAFE,SAFE,SAFE,SAFE,SAFE,WIN,SAFE,ELIM,OUT,OUT,OUT,OUT,Miss C
7,Jade Jolie,,"Gainesville, Florida",25,8th Place,SAFE,SAFE,SAFE,SAFE,SAFE,ELIM,OUT,OUT,OUT,OUT,OUT,OUT,Guest
8,Lineysha Sparx,Andy Trinidad,"San Juan, Puerto Rico",24,9th Place,SAFE,WIN,SAFE,SAFE,ELIM,OUT,OUT,OUT,OUT,OUT,OUT,OUT,Guest
9,Vivienne Pinay,,"New York, New York",26,10th/11th Place,SAFE,SAFE,SAFE,ELIM,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,Guest
10,Honey Mahogany,Alpha Mulugeta,"San Francisco, California",29,10th/11th Place,SAFE,SAFE,SAFE,ELIM,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,Guest
11,Monica Beverly Hillz,Juan DeJesus Anaya,"Owensboro, Kentucky",27,12th Place,SAFE,BTM2,ELIM,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,Guest
12,Serena ChaCha,,"Tallahassee, Florida",21,13th Place,BTM2,ELIM,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,Guest
13,Penny Tration,,"Cincinnati, Ohio",39,14th Place,ELIM,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,Guest
