,contestant,ep_1,ep_2,ep_3,ep_4,ep_5,ep_6,ep_7,ep_8,ep_9,ep_10,ep_11,ep_12,ep_14
0,Jinkx Monsoon,SAFE,SAFE,SAFE,SAFE,WIN,,SAFE,SAFE,WIN,SAFE,BTM2,SAFE,Winner
1,Alaska,SAFE,SAFE,SAFE,SAFE,SAFE,,SAFE,WIN,SAFE,SAFE,WIN,SAFE,Runner-Up
2,Roxxxy Andrews,WIN,SAFE,SAFE,SAFE,SAFE,,BTM2,SAFE,SAFE,WIN,SAFE,SAFE,Runner-Up
3,Detox,SAFE,SAFE,WIN,SAFE,BTM2,,SAFE,SAFE,SAFE,BTM2,ELIM,,Guest
4,Coco Montrese,SAFE,SAFE,BTM2,SAFE,SAFE,,WIN,SAFE,BTM2,ELIM,,Guest,
5,Alyssa Edwards,SAFE,SAFE,SAFE,WIN,SAFE,,BTM2,BTM2,ELIM,,Guest,,
6,Ivy Winters,SAFE,SAFE,SAFE,SAFE,SAFE,,SAFE,ELIM,,Miss C,,,
7,Jade Jolie,SAFE,SAFE,SAFE,SAFE,SAFE,,,Guest,,,,,
8,Lineysha Sparx,SAFE,WIN,SAFE,SAFE,ELIM,,Guest,,,,,,
9,Vivienne Pinay,SAFE,SAFE,SAFE,ELIM,,,,,,,,,
10,Honey Mahogany,SAFE,SAFE,SAFE,ELIM,,,,,,,,,
11,Monica Beverly Hillz,SAFE,BTM2,ELIM,,Guest,,,,,,,,
12,Serena ChaCha,BTM2,ELIM,,Guest,,,,,,,,,
13,Penny Tration,ELIM,,Guest,,,,,,,,,,
