contestant,target,time,comment,context,episode arc,grouping,place
Detox,self,2:05,"""I can do everything: I act, I sing, I rap, I dance... Let's send the rest of these clowns home.""",confessional,introduction,0,confessional
Detox,self,2:12,"""I've worked with huge celebrities, like Rihanna, Ke$ha, and I'm the Queen Bee, so eat it up... and crown it. You're all fucking welcome.""",confessional,introduction,0,confessional
Roxxxy Andrews,"self, Roxxxy Andrews",2:32,"""Me and Detox started drag together, and I'm just so excited to see her.""",confessional,introduction,1,confessional
Detox,Roxxxy Andrews,2:34,"""You look gorg.""",in situ,introduction,1,
Roxxxy Andrews,Detox,2:35,"""You too""",in situ,introduction,1,
Roxxxy Andrews,self,2:38,"""I'm a pageant girl. Big hair, big makeup: from head to toe, it's a Roxxxy Andrews andrews project""",confessional,introduction,,confessional
Jade Jolie,self,2:50,"""honey, i'm serving up fish, tuna on a platter""",confessional,introduction,,confessional
Jade Jolie,Roxxxy Andrews,2:54,"""You look gorg.""",in situ,introduction,9,
Roxxxy Andrews,Jade Jolie,2:55,"""Thank you, you too""",in situ,introduction,8,
Jade Jolie,self,2:57,"""Jade is bubbly, she laughs a lot. I just like to be fabulous and have fun!""",confessional,introduction,,confessional
Detox,"Roxxxy Andrews, Jade Jolie",3:05,"""Well, you both are going really home early, just so you know.""",in situ,introduction,,
Serena ChaCha,general,3:12,"""This is the best quinceanera present ever!""",in situ,introduction,13,
Detox,Serena ChaCha,,"""It's your quinceanera?""",in situ,introduction,12,
Serena ChaCha,"Detox, Roxxxy Andrews",3:25,"""Automatically, Detox and Roxxxy Andrews were brrrrrrrrrrr... it's a little off-putting... rather, annoying""",confessional,introduction,,confessional
Alyssa Edwards,self,3:46,"""I'm known as the Vanessa Williams of drag, because after winning the title of Miss Gay America, the crown was taken away from me.""",confessional,introduction,,confessional
Jinkx Monsoon,general,,"""You know I can clear the cackling from down the street""",in situ,introduction,,
Jinkx Monsoon,self,4:15,"""My name is Jinkx Monsoon I'm 24 and I'm Seattle youngest MILF.""",confessional,introduction,,confessional
Jinkx Monsoon,self,4:22,"""I'm theatrically trained in the Broadway school of singing""",confessional,introduction,,confessional
Detox,Jinkx Monsoon,4:27,"""I don't know about that Jinx yet, she's a little kooky.""",confessional,introduction,,confessional
