id,contestant,target,time,comment,to camera
,Detox,self,2:41,"It's the top four, we're a millimeter away from being the top three, and if I have to inch my way to the top three I'll do that. And I deserve it. ",
,Detox,"Jinkx Monsoon, Alaska",2:55,You two are gonna have a lip sync this week. I've had it with you guys not lip-synching at all. ,
,Roxxy Andrews,"Jinkx Monsoon, Alaska",2:58,How are you supposed to be America's next drag superstar if they've never even seen you perform? ,
,Alaska,self,3:02,"I would prefer to go to the top without ever having to do it, like, Tyra Sanchez-style",
,RuPaul,,3:33,"You know, every now and then, a drag queen needs to get things off her chesticles. So for today's mini challenge, we're gonna have a good old-fashioned bitchfest. And we're gonna do it with puppets. ",
,RuPaul,Detox,4:06,"I want you to reach deep inside, and I don't mean the pit crew's Andrew Christian underwear. ",
,RuPaul,Alaska,4:24,"Oh, my goodness. It's like ""A Fist Called Wanda"". ",
,Roxxy Andrews,Jinkx Monsoon,4:40,I got Chucky! It'll be so easy!,
,Detox,Alaksa,4:54,"I find the rattiest, dirtiest blonde wig I can find, then spray and...rubbing it together making it matte and gross. ",Y
,Alaska,Detox,5:01,I hate you Detox.,
,Roxxy Andrews,Jinkx Monsoon,5:04,"This is my opportunity to make fun of Jinkx Monsoon. I am painting the Nike check cheek in black, cuz that's how she likes to contour. ",Y
,Jinkx Monsoon,Detox,5:20,"Detox, it's time to come out. I've had it. Detox, come out. ",
,Jinkx Monsoon,Detox,5:24,"(as Detox) You ever been blown by a girl with silicon lips? I call it a slip 'n slide. I mean, I just wanna put my mouth on it and go like this...(gurgling sound) ...meh",
,Detox,Jinkx Monsoon,5:36,I don't know where she picked up that slip 'n slide joke. I've never said that. ,Y
,Detox,self,5:39,"I always call my mouth ""My Black and Decker pecker wreckers"".",Y
,,,,,
,Roxxy Andrews,Alaska,7:31,"Yeah bitch, you better keep repeating that cause America's gonna know. When they buy that song on iTunes, ""Can I Get an Amen?"" They're gonna say, ""Where my people at?"" ",Y
,RuPaul,all,7:38,"Wow, you girls didn't pull any punches. But one of you really made your fellow queen, ""Eat it!"" The winner it, Alaska!",
,Alaska,Roxxy Andrews,,"Hiiii! ""Where my people at?""",
,Roxxy Andrews,rest,8:59,This challenge is about sewing and creating. These bitches don't know how to sew. ,Y
,Roxxy Andrews,self,9:04,This is my element of drag,
,Jinkx Monsoon,self,9:10,I know exactly the direction I'm going in...I'm going Alexander McQueen does Christmas. ,
,Roxxy Andrews,Jinkx Monsoon,9:19,"Girl, she's going for a winter wonderland look, bitch. ",
,Detox,Jinkx Monsoon,9:21,It looks crazy.,
,Detox,Jinkx Monsoon,9:22,Just cause you throw some antlers on your goddamn head and you call it an Alexander McQueen look? ,
,Detox,Jinkx Monsoon,9:27,"Good luck, Jinkx. ",
,,,,,
,Alaska,self,10:06,I'm gonna eat my entire costume,
,Jinkx Monsoon,Detox,10:08,"Alaska, do I remind you of someone? ",
,Alaska,Detox,10:13,Detox!,
,Detox,self,10:15,"They're not really that big a stretch, really. ",
,RuPaul,all,10:21,How are things going here on the good ship Lollipop? ,
,RuPaul,Alaska,10:29,I came over to borrow a pair of edible panties. May I eat this pair? ,
,Alaska,RuPaul,10:33,You can eat those shorts all day. ,
,RuPaul,Alaska,10:35,Oh wait. These aren't edible!,
,RuPaul,Alaska,10:37,Ewwww...,
,Alaska,self(?),10:39,Eww!,
,Alaska,self,10:46,"I like, like, fluffy cotton candy. ",
,RuPaul,Alaska,10:49,How are you putting the candy on there? It's just glued right? ,
,,,,,
,RuPaul,Alaska,10:53,Huh. Interesting,
,RuPaul,Alaska,10:54,"But, you've been criticized for being a little rough around the edges. ",
,RuPaul,Alaska,10:59,"You know, the stakes are very high. ",
,RuPaul,Alaska,11:01,And you've really got to wow us to get into that top three. ,
,RuPaul,Alaska,11:04,All right. Can't wait to see it. ,
,RuPaul,Jinkx Monsoon,11:09,Hi Jinkx. You're not known for being a seamstress. ,
,Jinkx Monsoon,self,11:11,No.,
,RuPaul,Jinkx Monsoon,11:13,"Well, what are you doing? ",
,Jinkx Monsoon,self,11:15,"Well, I want to do like Christmas in July candy cane reindeer monster kinda thing",
,RuPaul,Jinkx Monsoon,11:30,You think it's too much though? ,
,RuPaul,,11:33,This is your candy couture,
,,,,,
,Jinkx Monsoon,self,11:36,"Well, I'm going to look like a candy cane overall. ",
,Roxxy Andrews,Jinkx Monsoon,11:42,It's a candy challenge. Where the candy at? ,Y
,Jinkx Monsoon,self,11:45,And I'm very excited to give the sweet 16 a shot. ,
,RuPaul,Jinkx Monsoon,11:46,"Now, you know, we're not talking 1916 right?",
,,,,,
