id,contestant,target,timestamp,comment,context,episode arc,grouping
1,detox,self,2:05,"""I can do everything: I act, I sing, I rap, I dance... Let's send the rest of these clowns home.""",confessional,introduction,
2,detox,self,2:12,"""I've worked with huge celebrities, like Rihanna, Ke$ha, and I'm the Queen Bee, so eat it up... and crown it. You're all fucking welcome.""",confessional,introduction,
3,roxxxy andrews,"self, roxxxy",2:32,"""Me and detox started drag together, and I'm just so excited to see her.""",confessional,introduction,
4,detox,roxxxy,2:34,"""You look gorg.""",in situ,introduction,5
5,roxxxy,detox,2:35,"""You too""",in situ,introduction,4
6,roxxxy,self,2:38,"""I'm a pageant girl. Big hair, big makeup: from head to toe, it's a roxxxy andrews project""",confessional,introduction,
7,jade jolie,self,2:50,"""honey, i'm serving up fish, tuna on a platter""",confessional,introduction,
8,jade jolie,roxxxy,2:54,"""You look gorg.""",in situ,introduction,9
9,roxxxy,jade jolie,2:55,"""Thank you, you too""",in situ,introduction,8
10,jade jolie,self,2:57,"""jade is bubbly, she laughs a lot. I just like to be fabulous and have fun!""",confessional,introduction,
11,detox,"roxxxy, jade jolie",3:05,"""well, you both are going really home early, just so you know.""",in situ,introduction,
12,serena ChaCha,general,3:12,"""this is the best quinceanera present ever!""",in situ,introduction,13
13,detox,serena ChaCha,,"""it's your quinceanera?""",in situ,introduction,12
14,serena ChaCha,"detox, roxxxy",3:25,"""automatically, detox and roxxxy were brrrrrrrrrrr... it's a little off-putting... rather, annoying""",confessional,introduction,
15,alyssa edwards,self,3:46,"""I'm known as the Vanessa Williams of drag, because after winning the title of Miss Gay America, the crown was taken away from me.""",confessional,introduction,
16,jinx Monsoon,self,4:15,"""I'm Seattle's youngest MILF.""",confessional,introduction,
17,jinx Monsoon,self,4:22,"""I'm theatrically trained in the Broadway school of singing""",confessional,introduction,
18,detox,jinx Monsoon,4:27,"""I don't know about that Jinx yet, she's a little kooky.""",confessional,introduction,
19,Penny Tration,general,4:45,"""You guys should be happy to know that everybody actually wanted me here!""",in situ,introduction,
20,Penny Tration,self,4:48,"""I hope that me being voted on the show by a lot of people makes the other queens really intimidated""",confessional,introduction,
21,alyssa edwards,vivian pinay,5:04,"""You're giving me pin-up, Kat Von Dee doll.""",in situ,introduction,22
22,vivian pinay,alyssa edwards,5:06,"""Thank you!""",in situ,introduction,21
